period,test_year,model,ticker,weight
4,2015,FF,F,0.00000002
4,2015,FF,CAT,0.00000001
4,2015,FF,DIS,0.00850343
4,2015,FF,MCD,0.07455150
4,2015,FF,KO,0.02324632
4,2015,FF,PEP,0.13145648
4,2015,FF,WMT,0.07440143
4,2015,FF,C,0.00000001
4,2015,FF,WFC,0.10027563
4,2015,FF,JPM,0.00000001
4,2015,FF,AAPL,0.01258951
4,2015,FF,IBM,0.00000005
4,2015,FF,PFE,0.09873578
4,2015,FF,JNJ,0.11403462
4,2015,FF,XOM,0.00000005
4,2015,FF,MRO,0.00000001
4,2015,FF,ED,0.17281439
4,2015,FF,T,0.06705320
4,2015,FF,VZ,0.12233752
4,2015,FF,NEM,0.00000003
4,2015,LASSO,F,0.00000018
4,2015,LASSO,CAT,0.00000011
4,2015,LASSO,DIS,0.05389226
4,2015,LASSO,MCD,0.09495123
4,2015,LASSO,KO,0.06918161
4,2015,LASSO,PEP,0.11780757
4,2015,LASSO,WMT,0.07404756
4,2015,LASSO,C,0.00000008
4,2015,LASSO,WFC,0.09356722
4,2015,LASSO,JPM,0.00000017
4,2015,LASSO,AAPL,0.03554622
4,2015,LASSO,IBM,0.02146378
4,2015,LASSO,PFE,0.09535325
4,2015,LASSO,JNJ,0.11051872
4,2015,LASSO,XOM,0.01413938
4,2015,LASSO,MRO,0.00000018
4,2015,LASSO,ED,0.07832936
4,2015,LASSO,T,0.06707081
4,2015,LASSO,VZ,0.07413008
4,2015,LASSO,NEM,0.00000021
4,2015,BSS,F,0.00000007
4,2015,BSS,CAT,0.00000018
4,2015,BSS,DIS,0.00000008
4,2015,BSS,MCD,0.11457017
4,2015,BSS,KO,0.10393150
4,2015,BSS,PEP,0.06584654
4,2015,BSS,WMT,0.02141490
4,2015,BSS,C,0.00000005
4,2015,BSS,WFC,0.28757669
4,2015,BSS,JPM,0.00000007
4,2015,BSS,AAPL,0.02750072
4,2015,BSS,IBM,0.00673616
4,2015,BSS,PFE,0.00003756
4,2015,BSS,JNJ,0.03604247
